,neighbourhood,number_of_reviews
0,Batignolles-Monceau,54021
1,Bourse,55759
2,Buttes-Chaumont,43061
3,Buttes-Montmartre,116534
4,Entrepôt,80227
5,Gobelins,34087
6,Hôtel-de-Ville,53412
7,Louvre,30410
8,Luxembourg,46385
9,Ménilmontant,44794
10,Observatoire,38618
11,Opéra,52959
12,Palais-Bourbon,37539
13,Panthéon,50439
14,Passy,46396
15,Popincourt,102552
16,Reuilly,38886
17,Temple,70790
18,Vaugirard,75968
19,Élysée,30533
